search URL:,https://patents.google.com/?q=AR&country=KR
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
KR-20120015637-A,Ａｒ 정보창 표시를 위한 사용자 장치 및 그 방법 ,주식회사 팬택,"민승준, 이광희, 장중업",2010-08-12,2010-08-12,2012-02-22,,https://patents.google.com/patent/KR20120015637A/ko,https://patentimages.storage.googleapis.com/f3/e4/a2/0273442f518ef4/pat00001.png
KR-20100124947-A,증강현실을 이용하여 휴대형 단말기에 실시간 지역정보를 제공하는 ａｒ컨텐츠 제공시스템 및 그 제공방법 ,삼성에스디에스 주식회사,"김동환, 김무항, 김승경, 김한철, 이정선, 정용욱",2009-05-20,2009-05-20,2010-11-30,,https://patents.google.com/patent/KR20100124947A/ko,https://patentimages.storage.googleapis.com/3c/3e/f3/86e075a5ed1225/112009030167910-PAT00001.png
KR-20150123866-A,Disabling augmented reality (ar) devices at speed ,퀄컴 인코포레이티드,자크 만다라,2013-03-06,2014-02-11,2015-11-04,,https://patents.google.com/patent/KR20150123866A/en,https://patentimages.storage.googleapis.com/76/3e/1e/e9f97c1e484ba5/pct00001.png
KR-100786351-B1,System and method for teaching work-robot based on ar ,울산대학교 산학협력단,박홍석,2006-08-29,2006-08-29,2007-12-14,2007-12-14,https://patents.google.com/patent/KR100786351B1/en,https://patentimages.storage.googleapis.com/54/46/5c/060ad75f2588dd/112006062494599-pat00008.png
KR-101793738-B1,미디어 ｉｄ 정합 기반의 방송 ａｒ 광고 서비스 시스템 및 그 방법 ,한국전자통신연구원,"유홍연, 김낙우, 이병탁, 박일균, 고재상",2010-12-23,2010-12-23,2017-11-07,2017-11-07,https://patents.google.com/patent/KR101793738B1/ko,https://patentimages.storage.googleapis.com/c7/f9/69/cb57bba43bb672/112010085070803-pat00001.png
KR-20120038316-A,Ａｒ 서비스를 제공하기 위한 사용자 단말기 및 그 방법 ,주식회사 팬택,황주희,2010-10-13,2010-10-13,2012-04-23,,https://patents.google.com/patent/KR20120038316A/ko,https://patentimages.storage.googleapis.com/55/e9/a3/cb1059868826d1/pat00001.png
KR-20160010475-A,Augmented reality (ar) capture & play ,퀄컴 인코포레이티드,"라파엘 그라스, 하르트무트 자이히터",2013-05-14,2014-05-13,2016-01-27,,https://patents.google.com/patent/KR20160010475A/en,https://patentimages.storage.googleapis.com/85/91/1d/ff75afbe697905/pct00001.png
KR-101389744-B1,Apparatus for information guldance by using nfc and ar mark ,주식회사 윤성지엠텍,백승렬,2013-09-24,2013-09-24,2014-04-28,2014-04-28,https://patents.google.com/patent/KR101389744B1/en,https://patentimages.storage.googleapis.com/26/b7/48/a6ddd0b004cd9c/112013086400837-pat00001.png
KR-20170139098-A,Multi-baseline camera array system architecture for depth enhancement in VR / AR applications ,포토네이션 케이맨 리미티드,"칼틱 벤카타라만, 댄 레레스, 자크 두파레",2015-04-19,2016-04-19,2017-12-18,,https://patents.google.com/patent/KR20170139098A/en,https://patentimages.storage.googleapis.com/7b/16/33/92995accb41435/pct00002.png
KR-20150038085-A,선택적 안드로겐 수용체 조절자(sarms)를 이용한 안드로겐 수용체(ar) 양성 유방암의 치료 방법 ,"지티엑스, 인코포레이티드","제임스 티. 달튼, 미첼 에스. 스테이너, 라메시 나라야난, 안선주",2012-07-13,2013-03-07,2015-04-08,,https://patents.google.com/patent/KR20150038085A/ko,https://patentimages.storage.googleapis.com/3e/b8/da/e4d7b7b38a1a8b/pct00167.png
